,event_id,event_date,event_year,event_month,event_time,event_hour,event_am_pm,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,caused_fatalities,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
10595,10545,2016-11-30 15:24:00,2016,November,15:24:00,15,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-124.029762,44.164338
10596,10764,2016-11-09 05:00:00,2016,November,05:00:00,5,AM,landslide,unknown,medium,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,48.664627,39.036633
10597,10373,2017-02-06 21:32:00,2017,February,21:32:00,21,PM,rock_fall,snowfall_snowmelt,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.9411009,39.06769834
10598,11192,2017-02-16 19:25:00,2017,February,19:25:00,19,PM,landslide,unknown,unknown,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,13.6883749,42.7272715
10599,11059,2017-03-19 15:09:00,2017,March,15:09:00,15,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,152.554007,-30.829127
10600,10825,2017-02-02 18:09:00,2017,February,18:09:00,18,PM,landslide,unknown,unknown,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.26926793,33.2216593
10601,10426,2017-02-17 22:55:00,2017,February,22:55:00,22,PM,mudslide,downpour,medium,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-118.4056832,34.380809
10602,10609,2017-01-20 14:57:00,2017,January,14:57:00,14,PM,landslide,leaking_pipe,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.3890426,47.5182519
10603,10515,2017-03-23 14:10:00,2017,March,14:10:00,14,PM,mudslide,snowfall_snowmelt,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-116.843145,48.464309
10604,10953,2016-10-24 14:24:00,2016,October,14:24:00,14,PM,landslide,mining,small,mine,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,86.035008,20.83341
10605,10506,2017-03-23 14:10:00,2017,March,14:10:00,14,PM,mudslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-116.4168941,48.75463908
10606,10356,2016-12-16 14:35:00,2016,December,14:35:00,14,PM,rock_fall,flooding,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-123.969925,41.845413
10607,10925,2016-11-05 14:00:00,2016,November,14:00:00,14,PM,landslide,construction,small,engineered_slope,2.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,71.157068,34.10563
10608,10697,2016-09-14 14:24:00,2016,September,14:24:00,14,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-155.371656,20.041249
10609,10641,2017-03-15 15:09:00,2017,March,15:09:00,15,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.4765807,48.63776081
10610,10596,2017-03-18 13:40:00,2017,March,13:40:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.3673205,47.94213637
10611,10404,2017-04-08 19:04:00,2017,April,19:04:00,19,PM,mudslide,rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.71544,34.41015853
10612,10561,2017-03-31 12:57:00,2017,March,12:57:00,12,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.740865,45.915562
10613,11211,2017-02-26 19:45:00,2017,February,19:45:00,19,PM,landslide,rain,small,above_coast,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-5.076599066,50.13806158
10614,10743,2017-05-08 13:28:00,2017,May,13:28:00,13,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,38.30385343,-4.843498811
